portfolio_id,account_id,portfolio_name,strategy,inception_date,target_risk_band
PRT00001,ACC0001,Core Portfolio 1,Core,2023-01-25,Medium
PRT00002,ACC0001,Balanced Portfolio 2,Balanced,2023-03-03,Medium
PRT00003,ACC0001,Defensive Portfolio 3,Defensive,2023-02-20,Low
PRT00004,ACC0002,Core Portfolio 4,Core,2023-01-06,Medium
PRT00005,ACC0002,Core Portfolio 5,Core,2023-02-10,Medium
PRT00006,ACC0002,Core Portfolio 6,Core,2023-04-14,Medium
PRT00007,ACC0003,Income Portfolio 7,Income,2023-03-15,Low
PRT00008,ACC0003,Balanced Portfolio 8,Balanced,2023-03-28,Medium
PRT00009,ACC0003,Balanced Portfolio 9,Balanced,2023-02-14,Medium
PRT00010,ACC0004,Core Portfolio 10,Core,2023-04-12,Medium
PRT00011,ACC0004,Income Portfolio 11,Income,2023-01-26,Low
PRT00012,ACC0004,Balanced Portfolio 12,Balanced,2023-02-20,Medium
PRT00013,ACC0005,Growth Portfolio 13,Growth,2023-01-31,High
PRT00014,ACC0005,Core Portfolio 14,Core,2023-03-17,Medium
PRT00015,ACC0006,Balanced Portfolio 15,Balanced,2023-02-15,Medium
PRT00016,ACC0006,Income Portfolio 16,Income,2023-01-30,Low
PRT00017,ACC0006,Balanced Portfolio 17,Balanced,2023-01-27,Medium
PRT00018,ACC0007,Balanced Portfolio 18,Balanced,2023-02-08,Medium
PRT00019,ACC0007,Core Portfolio 19,Core,2023-03-21,Medium
PRT00020,ACC0007,Growth Portfolio 20,Growth,2023-03-08,High
PRT00021,ACC0008,Balanced Portfolio 21,Balanced,2023-01-31,Medium
PRT00022,ACC0008,Core Portfolio 22,Core,2023-03-17,Medium
PRT00023,ACC0009,Growth Portfolio 23,Growth,2023-02-20,High
PRT00024,ACC0009,Balanced Portfolio 24,Balanced,2023-03-22,Medium
PRT00025,ACC0010,Core Portfolio 25,Core,2023-04-21,Medium
PRT00026,ACC0010,Growth Portfolio 26,Growth,2023-03-01,High
PRT00027,ACC0010,Income Portfolio 27,Income,2023-01-16,Low
